Designator,Mid X,Mid Y,Rotation,Layer
C1,103.8,-57.728856,270.0,top
C2,111.275,-64.225,270.0,top
C3,111.8,-94.828856,270.0,top
C4,111.6,-79.928856,270.0,top
C5,103.8,-88.428856,270.0,top
C6,103.8,-72.4,270.0,top
C7,111.8,-110.328856,270.0,top
C8,103.8,-103.4,270.0,top
J1,93.7,-88.075,180.0,top
J2,144.025,-60.75,90.0,top
J3,93.3,-57.075,180.0,top
J4,93.3,-71.275,180.0,top
J5,144.325,-76.05,90.0,top
J6,79.4,-78.6,270.0,top
J7,143.725,-91.05,90.0,top
J8,94.3,-103.275,180.0,top
J9,143.8,-105.8,90.0,top
L1,111.775,-57.725,90.0,top
L2,111.8,-73.0,90.0,top
L3,111.8,-88.2,270.0,top
L4,111.8,-103.8,90.0,top
R1,100.4,-94.8,0.0,top
R2,100.05,-63.4,0.0,top
R3,100.4,-109.8,0.0,top
R4,99.55,-77.4,0.0,top
U1,127.275,-61.225,0.0,top
U2,127.2,-91.2,0.0,top
U3,127.2,-76.2,0.0,top
U4,127.0,-106.4,0.0,top
